City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,0,Micheweni,TZ,-4.9667,39.8333,78.15,84,25,8.37,light rain,2022-11-28 23:11:57
1,1,Sorong,ID,-0.8833,131.25,80.04,82,100,0.31,overcast clouds,2022-11-28 23:11:58
2,2,Kaitangata,NZ,-46.2817,169.8464,58.84,68,100,6.38,overcast clouds,2022-11-28 23:11:59
3,3,Ushuaia,AR,-54.8,-68.3,62.26,34,40,12.66,scattered clouds,2022-11-28 23:11:35
4,4,Hilo,US,19.7297,-155.09,80.62,94,100,11.99,light rain,2022-11-28 23:11:59
5,5,Fortuna,US,40.5982,-124.1573,51.66,79,87,5.99,overcast clouds,2022-11-28 23:08:44
6,6,Coquimbo,CL,-29.9533,-71.3436,60.53,88,75,9.22,broken clouds,2022-11-28 23:11:59
7,7,Verkhniy Landekh,RU,56.8389,42.5994,8.76,94,76,4.27,broken clouds,2022-11-28 23:12:00
8,8,Nikolskoye,RU,59.7035,30.7861,26.49,96,93,4.5,overcast clouds,2022-11-28 23:12:00
9,9,Tuktoyaktuk,CA,69.4541,-133.0374,-11.29,99,79,9.84,broken clouds,2022-11-28 23:12:01
10,10,Iqaluit,CA,63.7506,-68.5145,-4.27,84,100,40.29,light snow,2022-11-28 23:08:19
11,11,Birao,CF,10.2849,22.7882,73.18,29,88,2.53,overcast clouds,2022-11-28 23:12:01
12,12,Bredasdorp,ZA,-34.5322,20.0403,62.87,94,40,5.68,scattered clouds,2022-11-28 23:12:02
13,13,Vaini,TO,-21.2,-175.2,84.36,74,40,13.8,scattered clouds,2022-11-28 23:12:02
14,14,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,91,4.0,overcast clouds,2022-11-28 23:12:03
15,15,Bilma,NE,18.6853,12.9164,61.54,29,90,9.66,overcast clouds,2022-11-28 23:12:03
16,16,Rikitea,PF,-23.1203,-134.9692,73.76,79,39,8.48,light rain,2022-11-28 23:12:04
17,17,Atuona,PF,-9.8,-139.0333,77.99,74,12,13.09,few clouds,2022-11-28 23:12:04
18,18,Rawson,AR,-43.3002,-65.1023,73.6,57,66,16.31,broken clouds,2022-11-28 23:12:05
19,19,Taitung,TW,22.7583,121.1444,71.87,88,20,4.61,few clouds,2022-11-28 23:12:05
20,20,Bonthe,SL,7.5264,-12.505,78.89,78,77,6.49,light rain,2022-11-28 23:12:06
21,21,Bethel,US,41.3712,-73.414,46.76,69,0,8.05,clear sky,2022-11-28 23:12:06
22,22,Tari,NG,12.4086,4.4914,72.86,20,76,7.65,broken clouds,2022-11-28 23:12:07
23,23,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,14,0,29.93,clear sky,2022-11-28 23:12:07
24,24,Wangaratta,AU,-36.3667,146.3333,65.46,57,39,9.95,scattered clouds,2022-11-28 23:12:07
25,25,Bambous Virieux,MU,-20.3428,57.7575,73.22,79,94,4.88,light rain,2022-11-28 23:12:08
26,26,Albany,US,42.6001,-73.9662,38.62,80,61,1.99,broken clouds,2022-11-28 23:07:21
27,27,Mataura,NZ,-46.1927,168.8643,59.49,51,97,5.17,light rain,2022-11-28 23:12:09
28,28,Havre,FR,49.5833,0.3333,49.77,81,75,8.05,broken clouds,2022-11-28 23:12:09
29,29,Jacareacanga,BR,-6.2222,-57.7528,75.4,91,100,2.55,overcast clouds,2022-11-28 23:12:10
30,30,Aitape,PG,-3.1374,142.3475,80.69,84,99,3.06,light rain,2022-11-28 23:12:10
31,31,Taldan,RU,53.6667,124.8,-22.79,92,96,5.21,overcast clouds,2022-11-28 23:12:11
32,32,Butaritari,KI,3.0707,172.7902,80.47,76,59,8.16,light rain,2022-11-28 23:12:11
33,33,Kunming,CN,25.0389,102.7183,50.43,80,0,2.37,clear sky,2022-11-28 23:12:11
34,34,Rokytne,UA,51.2796,27.214,27.86,96,100,5.55,overcast clouds,2022-11-28 23:12:13
35,35,Bahia Honda,CU,22.9036,-83.1592,77.49,80,84,9.13,broken clouds,2022-11-28 23:12:13
36,36,Sokol,RU,59.4617,40.1206,11.41,97,99,4.0,overcast clouds,2022-11-28 23:12:14
37,37,Ponta Delgada,PT,37.7333,-25.6667,69.49,94,40,12.66,scattered clouds,2022-11-28 23:12:14
38,38,Chokurdakh,RU,70.6333,147.9167,-34.87,100,99,3.47,overcast clouds,2022-11-28 23:12:14
39,39,Busselton,AU,-33.65,115.3333,65.28,54,0,13.65,clear sky,2022-11-28 23:12:15
40,40,Thompson,CA,55.7435,-97.8558,17.46,93,100,15.5,light snow,2022-11-28 23:12:15
41,41,Thinadhoo,MV,0.5333,72.9333,80.37,77,23,7.63,few clouds,2022-11-28 23:12:16
42,42,Cape Town,ZA,-33.9258,18.4232,74.37,68,14,1.99,few clouds,2022-11-28 23:11:25
43,43,Bluff,NZ,-46.6,168.3333,59.81,75,95,11.45,overcast clouds,2022-11-28 23:12:16
44,44,Lady Frere,ZA,-31.7031,27.2329,57.51,90,40,0.72,scattered clouds,2022-11-28 23:13:17
45,45,Saint-Georges,GD,12.0564,-61.7485,78.48,78,20,6.91,few clouds,2022-11-28 23:13:17
46,46,Bilibino,RU,68.0546,166.4372,9.57,88,100,5.23,overcast clouds,2022-11-28 23:13:17
47,47,Lorengau,PG,-2.0226,147.2712,85.03,63,38,6.64,scattered clouds,2022-11-28 23:13:18
